PATH1	DURATION1	PATH2	DURATION2	OFFSET	TRANSCRIPT
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0054.wav	1.05	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0054.wav	0.7674375	0.38325	beat
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0050.wav	1.5	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0050.wav	1.6761875	0.25825	beta
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0004.wav	8.7	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0004.wav	9.602375	-1.3021875	[say Eee-P-Ah repeatedly]
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0090.wav	2.1	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0090.wav	1.759125	0.2700625	trouble
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0029.wav	1.8	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0029.wav	0.7613125	0.81175	beat
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0108.wav	2.1	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0108.wav	1.9774375	0.102875	jacket
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0072.wav	1.65	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0072.wav	1.301875	0.2193125	sheet
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0040.wav	0.9	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0040.wav	0.4685	0.887625	rave
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0041.wav	1.65	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0041.wav	0.024375	1.0876875	rave
/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_arrayMic/0043.wav	1.5	/home/shubham/TensorFlowASR/data/F/F01/Session1/wav_headMic/0043.wav	1.3404375	0.410625	sip
