PATH1	DURATION1	PATH2	DURATION2	OFFSET	TRANSCRIPT
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0029.wav	1.8	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0029.wav	0.7613125	0.81175	beat
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0033.wav	1.8	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0033.wav	0.114875	0.7530625	car
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0016.wav	1.95	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0016.wav	2.4126875	-0.41275	swarm
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0006.wav	1.8	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0006.wav	1.35225	0.047125	stick
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0018.wav	1.35	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0018.wav	2.0749375	-0.1000625	no
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0009.wav	1.95	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0009.wav	1.2211875	0.0334375	pat
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0013.wav	1.65	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0013.wav	0.7465625	0.5563125	know
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0021.wav	2.85	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0021.wav	1.4775625	0.36675	dug
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0017.wav	1.65	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0017.wav	2.41275	-0.1384375	double
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0025.wav	1.65	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0025.wav	2.3325	-0.4571875	feet
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0015.wav	1.8	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0015.wav	2.1231875	-0.242375	air
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0011.wav	0.75	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0011.wav	1.299875	0.2925625	meat
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0012.wav	1.95	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0012.wav	1.3173125	0.3233125	meat
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0019.wav	1.95	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0019.wav	1.8758125	0.006125	storm
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0010.wav	1.95	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0010.wav	2.0749375	-0.7729375	up
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0024.wav	2.4	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0024.wav	1.6815625	-0.57925	knee
/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_arrayMic/0026.wav	1.8	/home/shubham/TensorFlowASR/data/F/F01/Session2/wav_headMic/0026.wav	1.578625	0.4826875	train
