PATH1	DURATION1	PATH2	DURATION2	OFFSET	TRANSCRIPT
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0142.wav	2.55	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0142.wav	2.28575	-0.25975	Just one side got wet.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0054.wav	1.5	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0054.wav	0.5660625	0.4944375	bat
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0050.wav	1.5	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0050.wav	1.7860625	-0.66475	feet
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0004.wav	9.45	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0004.wav	10.3395	0.849625	[say Pah-Tah-Kah repeatedly]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0090.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0090.wav	1.01775	0.266	jagged
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0159.wav	0.9	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0159.wav	0.4833125	0.653375	bear
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0029.wav	4.8	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0029.wav	6.3915625	0.5665625	[say Ah for 5 seconds]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0108.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0108.wav	0.8376875	0.348375	air
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0072.wav	7.05	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0072.wav	7.1724375	0.251	he slowly takes a short walk in the open air each day.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0040.wav	1.8	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0040.wav	2.504875	0.0464375	sip
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0041.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0041.wav	2.0818125	0.3303125	two
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0149.wav	3.15	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0149.wav	4.0139375	0.438125	[relax your mouth in its normal position]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0043.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0043.wav	1.8729375	0.2145	right
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0135.wav	3.3	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0135.wav	2.505625	0.5536875	I looked up and noticed two old men.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0083.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0083.wav	0.58525	0.279875	corn
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0079.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0079.wav	0.0	0.7656875	race
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0115.wav	3.9	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0115.wav	3.1201875	0.572125	yet he still thinks as swiftly as ever.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0132.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0132.wav	0.415375	0.7450625	pile
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0175.wav	2.85	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0175.wav	2.3215625	0.5829375	You're used to being on the field.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0033.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0033.wav	2.442125	0.248375	weed
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0107.wav	3.9	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0107.wav	3.1409375	0.26375	The quick brown fox jumps over the lazy dog.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0121.wav	4.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0121.wav	2.5943125	0.6584375	but he always answers, Banana oil!
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0052.wav	1.95	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0052.wav	2.507875	0.1991875	feed
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0067.wav	1.05	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0067.wav	0.72275	0.1703125	gnaw
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0158.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0158.wav	0.94725	-0.11675	lip
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0086.wav	1.65	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0086.wav	0.8719375	0.049	sticks
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0005.wav	1.65	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0005.wav	1.142875	-0.1865	beta
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0066.wav	1.5	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0066.wav	0.794125	0.3500625	bubble
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0076.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0076.wav	0.6143125	0.5020625	born
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0081.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0081.wav	0.7295	0.442625	torn
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0016.wav	2.4	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0016.wav	2.3624375	0.3744375	swarm
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0020.wav	1.8	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0020.wav	1.8039375	0.1906875	tear [as in tear up that paper]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0069.wav	1.65	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0069.wav	1.28375	-0.2575625	down
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0155.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0155.wav	0.90925	0.3221875	prior
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0147.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0147.wav	0.345125	0.1995	troop
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0077.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0077.wav	0.229875	0.746875	go
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0099.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0099.wav	0.4745	0.1534375	slip
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0003.wav	3.15	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0003.wav	8.3688125	-0.9421875	[relax your mouth in its normal position]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0112.wav	2.1	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0112.wav	0.4826875	0.6196875	left
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0160.wav	1.65	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0160.wav	0.5973125	0.3025625	coupe
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0203.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0203.wav	0.978125	0.1495	bat
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0049.wav	2.1	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0049.wav	1.312375	0.2225	yes
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0137.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0137.wav	0.704875	0.2445625	suit
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0184.wav	3.0	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0184.wav	2.997125	0.2149375	The humidity is overwhelming there.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0035.wav	1.8	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0035.wav	2.735125	0.048125	read [as in I can read]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0053.wav	3.9	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0053.wav	4.0380625	0.3155	You wished to know all about my grandfather.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0126.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0126.wav	0.9224375	0.3786875	dug
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0116.wav	3.6	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0116.wav	2.49875	0.349625	Usually minus several buttons
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0128.wav	1.5	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0128.wav	0.8903125	0.3053125	select
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0136.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0136.wav	0.5113125	0.13925	of
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0006.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0006.wav	0.4765625	0.74	stubble
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0166.wav	1.2	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0166.wav	0.4863125	0.43725	boot
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0073.wav	1.5	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0073.wav	1.0504375	0.2611875	knee
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0133.wav	1.5	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0133.wav	0.875125	0.250125	bad
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0183.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0183.wav	0.7436875	0.0764375	cycle
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0157.wav	2.85	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0157.wav	2.4515	0.0824375	I feel I can play this weekend.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0179.wav	3.0	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0179.wav	2.332875	0.161625	He will allow a rare lie.
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0100.wav	3.45	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0100.wav	2.8815	0.0628125	[relax your mouth in its normal position]
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0174.wav	3.9	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0174.wav	4.109625	0.2984375	Why yell or worry over silly items?
/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_arrayMic/0063.wav	1.35	/home/shubham/TensorFlowASR/data/F/F03/Session1/wav_headMic/0063.wav	1.0815	0.7325	gadget
